day,campaign,clicks,impressions,cost_cents,avg_position
3/10/2015,QNS.Exact.PC,216,17923,127324,2.3
3/20/2015,QNS.Exact.PC,162,12314,56338,4.2
3/21/2015,QNS.Exact.PC,459,22556,143286,2.5
3/28/2015,QNS.Exact.PC,194,11611,77582,4
3/30/2015,QNS.Exact.PC,414,29076,162965,4.2
4/4/2015,QNS.Exact.PC,207,8008,65771,3.9
4/5/2015,QNS.Exact.PC,136,6086,44217,3.9
4/10/2015,QNS.Exact.PC,231,13840,68276,3.5
4/15/2015,QNS.Exact.PC,240,17375,77079,4.1
4/17/2015,QNS.Exact.PC,337,21007,123954,3.9
3/9/2015,QNS.Exact.PC,21,1046,10143,1.5
3/11/2015,QNS.Exact.PC,136,12282,76453,2.6
3/13/2015,QNS.Exact.PC,307,28754,151786,2.7
3/14/2015,QNS.Exact.PC,106,9282,50198,3.9
3/15/2015,QNS.Exact.PC,65,7566,30036,4.4
3/17/2015,QNS.Exact.PC,135,10597,50773,5
3/24/2015,QNS.Exact.PC,191,20911,88191,3.3
3/25/2015,QNS.Exact.PC,349,22648,167072,3.6
3/27/2015,QNS.Exact.PC,292,28454,117794,4.4
3/31/2015,QNS.Exact.PC,446,29587,169292,4.2
4/1/2015,QNS.Exact.PC,360,25356,146935,4.1
4/7/2015,QNS.Exact.PC,297,14245,84339,3.8
4/8/2015,QNS.Exact.PC,299,15650,88588,3.4
4/9/2015,QNS.Exact.PC,257,12790,74460,3.5
4/11/2015,QNS.Exact.PC,178,7889,53640,3.5
4/12/2015,QNS.Exact.PC,140,7090,45453,3.6
4/14/2015,QNS.Exact.PC,250,13990,78155,3.5
3/23/2015,Wawanesa,6,702,2641,2.7
3/25/2015,Metlife,0,314,0,4.1
1/20/2015,Campaign #1,3,4,2894,7
3/16/2015,QNS.Exact.PC,138,12908,63678,5
3/18/2015,QNS.Exact.PC,129,11316,48403,5
3/23/2015,QNS.Exact.PC,448,27528,145923,2.9
3/29/2015,QNS.Exact.PC,213,14555,96064,4.2
4/2/2015,QNS.Exact.PC,295,16596,107770,3.9
4/6/2015,QNS.Exact.PC,334,14983,99741,3.6
4/16/2015,QNS.Exact.PC,321,19948,144015,4
4/18/2015,QNS.Exact.PC,137,9178,50590,4
3/12/2015,QNS.Exact.PC,265,20840,147032,2.9
3/19/2015,QNS.Exact.PC,153,11313,54495,4.7
3/22/2015,QNS.Exact.PC,574,27424,156815,2.2
3/26/2015,QNS.Exact.PC,295,25279,175463,3.9
4/3/2015,QNS.Exact.PC,279,12760,94846,3.9
4/13/2015,QNS.Exact.PC,292,15059,88439,3.5
3/26/2015,Metlife,2,434,1426,3.9
3/22/2015,Wawanesa,0,126,0,2.5
3/23/2015,Metlife,0,137,0,4.2
3/24/2015,Wawanesa,0,112,0,2.9
3/24/2015,Metlife,1,185,407,4.1
3/27/2015,Metlife,1,409,1463,4.6
